,name,genres,publication_date,producer,director,screenwriter,cast_member,MPA_rating,cast_member.character_role,rating
13,Halloween Ends,"{'horror film', 'slasher film'}",2022,"{'Bill Block', 'Jason Blum', 'Malek Akkad'}",David Gordon Green,"{'Danny McBride', 'Paul Brad Logan', 'David Gordon Green'}","{'Andi Matichak', 'Jamie Lee Curtis', 'Judy Greer', ""Michael O'Leary"", 'James Jude Courtney', 'Omar Dorsey', 'Kyle Richards', 'Will Patton', 'Nick Castle', 'Rohan Campbell'}",R,"{'Nick Castle as The Shape', 'Judy Greer as Karen', 'James Jude Courtney as La Forme', 'Kyle Richards as Lindsey Wallace', 'Andi Matichak as Allyson', 'Will Patton as Franck Hawkins'}",average
14,The Godfather,"{'drama film', 'crime film', 'gangster film', 'film based on a novel'}",1972,{'Albert S. Ruddy'},Francis Ford Coppola,"{'Francis Ford Coppola', 'Mario Puzo'}","{'Richard Conte', 'Corrado Gaipa', 'Tony Giorgio', 'Saro Urzì', 'Carmine Coppola', 'Raymond Martino', 'Simonetta Stefanelli', 'Richard S. Castellano', 'James Caan', 'Al Lettieri', 'Gianni Russo', 'John Cazale', 'Sofia Coppola', 'Abe Vigoda', 'Alex Rocco', 'Marlon Brando', 'Sterling Hayden', 'Roman Coppola', 'John Marley', 'Nick Vallelonga', 'Robert Duvall', 'Diane Keaton', 'Victor Rendina', 'Talia Shire', 'Lenny Montana', 'Vito Scotti', 'Angelo Infanti', 'Rudy Bond', 'Franco Citti', 'Joe Spinell', 'Al Pacino', 'Richard Bright', 'Al Martino', 'Julie Gregg', 'Tony King', 'Johnny Martino', 'Ron Gilbert', 'Salvatore Corsitto', 'Morgana King'}",R,"{'Richard Conte as Barzini', 'Salvatore Corsitto as Bonasera', 'Richard S. Castellano as Clemenza', 'Corrado Gaipa as Don Tommasino', 'Johnny Martino as Paulie Gatto', 'Roman Coppola as Boy on Street', 'Tony King as Tony', 'Victor Rendina as Philip Tattaglia', 'Diane Keaton as Kay Adams', 'Joe Spinell as Willi Cicci', 'James Caan as Sonny', 'Al Martino as Johnny Fontane', 'Tony Giorgio as Bruno Tattaglia', 'Rudy Bond as Cuneo', 'Sterling Hayden as Capt. McCluskey', 'Al Pacino as Michael', 'Raymond Martino as Corleone Family Member', 'Angelo Infanti as Fabrizio', 'Richard Bright as Neri', 'Julie Gregg as Sandra Corleone', 'Robert Duvall as Tom Hagen', 'Talia Shire as Connie', 'Ron Gilbert as Usher', 'Sofia Coppola as Michael Francis Rizzi', 'Nick Vallelonga as Wedding Party Guest', 'Vito Scotti as Nazorine', 'Simonetta Stefanelli as Apollonia Vitelli-Corleone', 'Morgana King as Mama Corleone', 'Lenny Montana as Luca Brasi', 'Gianni Russo as Carlo', 'Saro Urzì as Vitelli', 'Al Lettieri as Sollozzo', 'Alex Rocco as Moe Greene', 'Franco Citti as Calò', 'John Marley as Jack Woltz', 'John Cazale as Fredo', 'Carmine Coppola as Piano Player', 'Abe Vigoda as Tessio', 'Marlon Brando as Vito Corleone'}",excellent
15,Black Panther,"{'superhero film', 'action film', 'adventure film', 'science fiction film'}",2018,{'Kevin Feige'},Ryan Coogler,"{'Joe Robert Cole', 'Ryan Coogler'}","{'Sope Aluko', 'Tony Sears', 'Roland Kilumbu', 'David S. Lee', 'Liz Elkins Newcomer', 'Danai Gurira', 'Atandwa Kani', 'Marija Juliette Abney', 'Maria Hippolyte', 'Angela Bassett', 'Danny Sapani', 'John Kani', 'Daniel Kaluuya', 'Zenzi Williams', 'Zani Mogodi', 'Sebastian Stan', 'Marie Mouroum', 'Bambadjan Bamba', 'Alex Riley Hughes', 'Chadwick Boseman', 'Abraham Clinkscales', 'Alexis Rhee', 'Winston Duke', 'Denzel Whitaker', 'Alexis Louder', 'Sasha Morfaw', 'Jeremy Sample', 'Martin Freeman', 'Jénel Stevens', 'Michael B. Jordan', 'Sydelle Noel', 'Danny Chung', 'Forest Whitaker', 'Chad Crumley', 'Isaach de Bankolé', 'Shaunette Renée Wilson', 'Shamel Heath', 'Clifford Gay', 'Connie Chiume', 'Mark Ashworth', 'Jermaine Holt', 'Dorothy Steel', 'Alex R. Hibbert', 'Florence Kasumba', 'Lucy Hockings', 'Vaughndio Forbes', 'Jalil Jay Lynch', 'Ashton Tyler', ""De'Jon Watts"", 'Francesca Faridany', 'Nabiyah Be', 'Sterling K. Brown', 'Thabo Moropane', 'Dominique Elijah Smith', ""Lupita Nyong'o"", 'Janeshia Adams-Ginyard', 'Seth Carr', 'Andy Serkis', 'Christine Hollingsworth', 'Zola Williams', 'Stan Lee', 'Letitia Wright'}",PG-13,"{'Florence Kasumba as Ayo', 'Angela Bassett as Ramonda', 'Denzel Whitaker as James/Young Zuri', 'Thabo Moropane as Wakandan Children', ""De'Jon Watts as Hot Dog Kid"", 'Shamel Heath as Basketball Kids (1992)', 'Zola Williams as Dora Milaje', 'Jénel Stevens as Dora Milaje', 'Danny Sapani as Border Tribe Elder', 'Shaunette Renée Wilson as Dora Milaje (1992)', 'Nabiyah Be as Linda', 'Danai Gurira as Okoye', 'Roland Kilumbu as Young Militant', 'Connie Chiume as Mining Tribe Elder', 'Zani Mogodi as Wakandan Children', 'Francesca Faridany as Museum Director', 'Michael B. Jordan as Erik Killmonger', ""Lupita Nyong'o as Nakia"", 'Bambadjan Bamba as Militant Leader', 'Atandwa Kani as Young T’Chaka', 'Sterling K. Brown as N’Jobu', 'Zenzi Williams as Jabari Woman', 'Alexis Rhee as Elderly Woman (Sophia)', 'Clifford Gay as Basketball Kids (1992)', 'Jalil Jay Lynch as Nigerian Militant #1', 'Seth Carr as Young Killmonger', 'Maria Hippolyte as Dora Milaje', 'Jeremy Sample as Jabari Fisherman', 'Chadwick Boseman as T’Challa/Black Panther', 'Alex Riley Hughes as Basketball Kids (1992)', 'Sydelle Noel as Dora Milaje', 'Danny Chung as Dealer', 'Forest Whitaker as Zuri', 'Stan Lee as Thirsty Gambler', 'John Kani as T’Chaka', 'Daniel Kaluuya as W’Kabi', 'Chad Crumley as South African Tough', 'Sope Aluko as Shaman', 'Winston Duke as M’Baku', 'Lucy Hockings as BBC Reporter', 'Andy Serkis as Ulysses Klaue', 'Dorothy Steel as Merchant Tribe Elder', 'Letitia Wright as Shuri', 'Jermaine Holt as Driver', 'Isaach de Bankolé as River Tribe Elder', 'Liz Elkins Newcomer as CIA Agent', 'Mark Ashworth as Security Guard', 'Marie Mouroum as Dora Milaje', 'Ashton Tyler as Young T’Challa', 'Dominique Elijah Smith as Cargo Truck Militant', 'Vaughndio Forbes as Nigerian Militant #2', 'Alexis Louder as Nigerian Woman #2', 'Christine Hollingsworth as Dora Milaje (1992)', 'Abraham Clinkscales as Oakland Kids', 'Alex R. Hibbert as Young Oakland Kid', 'Sasha Morfaw as Nigerian Woman #1', 'Tony Sears as French Ambassador', 'Janeshia Adams-Ginyard as Dora Milaje', 'David S. Lee as Limbani', 'Marija Juliette Abney as Dora Milaje', 'Martin Freeman as Everett K. Ross'}",good
16,The Banshees of Inisherin,"{'drama film', 'black comedy', 'tragicomedy', 'comedy film'}",2023,"{'Peter Czernin', 'Graham Broadbent'}",Martin McDonagh,{'Martin McDonagh'},"{'Ryan Owens', 'Bríd Ní Neachtain', 'Jon Kenny', 'Kerry Condon', 'Oliver Farrelly', 'James Carty', 'Sheila Flitton', 'Brendan Gleeson', 'Minnie', 'Lasaírfhiona Ní Chonaola', 'David Pearse', 'John Carty', 'Colin Farrell', 'Morse', 'Barry Keoghan', 'Conor Connolly', 'Jenny', 'Pat Shortt', 'Aaron Monaghan', 'Gary Lydon'}",R,"{'Kerry Condon as Siobhán Súilleabháin', ""Bríd Ní Neachtain as Mrs. O'Riordan"", 'John Carty as Older Musician 1', 'Ryan Owens as Student Musician 3', 'Colin Farrell as Pádraic Súilleabháin', 'Sheila Flitton as Mrs. McCormick', 'Minnie as Minnie the Pony', 'Brendan Gleeson as Colm Doherty', 'Gary Lydon as Peadar Kearney', 'Jenny as Jenny', 'Conor Connolly as Student Musician 2', 'Jon Kenny as Gerry', 'James Carty as Student Musician 1', 'Oliver Farrelly as Older Musician 2', 'Morse as Sammy', 'Barry Keoghan as Dominic Kearney', 'Lasaírfhiona Ní Chonaola as Female Singer', 'David Pearse as Priest', 'Pat Shortt as Jonjo Devine', 'Aaron Monaghan as Declan'}",excellent
17,No Time to Die,"{'spy film', 'thriller film', 'action film'}",2021,"{'Michael G. Wilson', 'Barbara Broccoli'}",Cary Joji Fukunaga,"{'John Hodge', 'Scott Z. Burns', 'Phoebe Waller-Bridge', 'Neal Purvis and Robert Wade'}","{'Ana de Armas', 'David Dencik', 'Billy Magnussen', 'Rory Kinnear', 'Ben Whishaw', 'Daniel Craig', 'Naomie Harris', 'Christoph Waltz', 'Ralph Fiennes', 'Lashana Lynch', 'Rami Malek', 'Jeffrey Wright', 'Léa Seydoux'}",PG-13,"{'Rami Malek as Lyutsifer Safin', 'Billy Magnussen as Logan Ash', 'Lashana Lynch as Nomi'}",good
18,Sonic the Hedgehog 2,"{'action film', 'comedy film', 'adventure film'}",2022,{'Hitoshi Okuno'},Jeff Fowler,"{'Patrick Casey', 'Josh Miller'}","{'James Marsden', 'Jim Carrey', 'Shemar Moore', 'Tika Sumpter', 'Natasha Rothwell', 'Lee Majdoub', 'Adam Pally'}",PG,"{'Shemar Moore as Randall', 'Adam Pally as Wade Whipple', 'James Marsden as Tom Wachowski', 'Tika Sumpter as Maddie Wachowski', 'Natasha Rothwell as Rachel', 'Lee Majdoub as Agent Stone'}",average
19,Avengers: Endgame,"{'speculative/fantastic fiction film', 'action film', 'adventure film', 'superhero film'}",2019,{'Kevin Feige'},Joe Russo,"{'Jack Kirby', 'Stephen McFeely', 'Christopher Markus', 'Stan Lee'}","{'Taika Waititi', 'Zoe Saldana', 'Lia Mariella Russo', 'Natalie Portman', 'Ava Russo', 'Robert Downey Jr.', 'Ross Marquand', 'Lexi Rabe', 'Sean Gunn', 'Russell Bobbitt', 'Benedict Cumberbatch', 'Chris Hemsworth', 'Jack Champion', 'Joe Russo', 'Bazlo LeClair', 'Pom Klementieff', 'Matthew Berry', 'Rene Russo', 'Gwyneth Paltrow', 'Jennifer Elmore', 'Robert Redford', 'Hayley Atwell', 'Agostino Rosalina', 'Anthony G. Breed', 'Jim Starlin', 'James Lin', 'Michael Douglas', 'Tilda Swinton', 'Jeremy Renner', 'Jon Favreau', 'Letitia Wright', 'Mike Lutz', 'Benedict Wong', 'Tom Holland', 'Karen Gillan', 'Angela Bassett', 'Sebastian Stan', 'Hiroyuki Sanada', 'Ken Jeong', 'Tom Wisdom', 'Patrick Gorman', 'Dave Bautista', 'Cobie Smulders', 'Chris Pratt', 'John Posey', 'Loen LeClair', 'Linda Cardellini', 'Emma Fuhrmann', 'Michelle Pfeiffer', 'Mark Ruffalo', 'Monique Ganderton', 'Olaniyan Thurmon', 'Samuel L. Jackson', 'Erica Ribley', 'Jamie Wedel', 'Brie Larson', 'Marisa Tomei', 'Paul Rudd', 'Tom Hiddleston', 'Michael A. Cook', 'Chadwick Boseman', 'Jackson A. Dunn', 'Don Cheadle', 'Ben Sakamoto', 'Taylor Patterson', 'Scarlett Johansson', 'William Hurt', 'Brent McGee', 'Aaron Lazar', 'Tom Vaughan-Lawlor', 'Michael James Shaw', 'Callan Mulvey', 'Brian Schaeffer', 'Chris Evans', 'Sam Hargrave', 'Yvette Nicole Brown', 'Elizabeth Olsen', 'Tessa Thompson', 'Stan Lee', 'Josh Brolin', 'Danai Gurira', 'Julian Russo', 'Robert Pralgo', 'Maximiliano Hernández', 'Frank Grillo', 'John Slattery', 'Jimmy Ray Pickens', 'Ameenah Kaplan', 'Joy McAvoy', 'Terry Notary', 'Winston Duke', 'Ty Simpkins', 'Hye Jin Jang', 'Cade Woodward', 'Evangeline Lilly', ""James D'Arcy"", 'Jacob Batalon', 'Anthony Mackie', 'Lee Moore', 'John Michael Morris'}",PG-13,"{'Emma Fuhrmann as Cassie Lang', 'John Posey as Alexander Pierce Reader', 'Jimmy Ray Pickens as Support Group Man #2', 'Maximiliano Hernández as Agent Sitwell', 'Michelle Pfeiffer as Janet Van Dyne', 'Olaniyan Thurmon as Teenage Groot Reader', 'Danai Gurira as Okoye', 'Anthony Mackie as Sam Wilson/Falcon', 'Robert Downey Jr. as Tony Stark/Iron Man', 'Bazlo LeClair as Scott Lang (Baby)', 'Lia Mariella Russo as Lia', 'Jamie Wedel as Drill Sergeant', 'Evangeline Lilly as Hope Van Dyne/Wasp', 'Zoe Saldana as Gamora', 'Jon Favreau as Happy Hogan', 'John Michael Morris as Young Hank Pym', 'Don Cheadle as James Rhodes/War Machine', 'Michael A. Cook as Male S.H.I.E.L.D. Agent', 'Jeremy Renner as Clint Barton/Hawkeye', 'Hayley Atwell as Peggy Carter', 'Ben Sakamoto as Cooper Barton', 'Ameenah Kaplan as Gamora Reader', 'Stan Lee as Driver', 'Anthony G. Breed as Young Stan Lee Double', 'Gwyneth Paltrow as Pepper Potts', 'Taika Waititi as Korg', 'Mark Ruffalo as Bruce Banner/Hulk', 'Angela Bassett as Ramonda', ""James D'Arcy as Jarvis"", 'Benedict Cumberbatch as Doctor Strange', 'Agostino Rosalina as Augie', 'Samuel L. Jackson as Nick Fury', 'Michael Douglas as Hank Pym', 'Chris Evans as Steve Rogers/Captain America', 'Tom Holland as Peter Parker/Spider-Man', 'Benedict Wong as Wong', 'Jacob Batalon as Ned', 'Monique Ganderton as On-Set Proxima Midnight', 'Julian Russo as Julian', 'Jennifer Elmore as On Set Reader #1', 'Letitia Wright as Shuri', 'Lee Moore as Scott Lang (93 Y.O.)', 'Robert Pralgo as Thanos Reader', 'Tilda Swinton as The Ancient One', 'Joe Russo as Grieving Man', 'Ross Marquand as Red Skull (Stonekeeper)', 'Chris Pratt as Peter Quill/Star-Lord', 'Hiroyuki Sanada as Akihiko', 'Erica Ribley as Car Girl', 'James Lin as Diner Cook', 'Loen LeClair as Scott Lang (Baby)', 'Chris Hemsworth as Thor', 'Joy McAvoy as Asgardian Maiden', 'Brian Schaeffer as Military Police', 'Dave Bautista as Drax', 'Pom Klementieff as Mantis', 'Karen Gillan as Nebula', 'Terry Notary as On-Set Groot/Cull Obsidian', 'Ava Russo as Lila Barton', 'Elizabeth Olsen as Wanda Maximoff /Scarlet Witch', 'Marisa Tomei as Aunt May', 'Scarlett Johansson as Natasha Romanoff/Black Widow', 'Josh Brolin as Thanos', 'Matthew Berry as S.H.I.E.L.D. Agent', 'Tessa Thompson as Valkyrie', 'Linda Cardellini as Laura Barton', 'Sebastian Stan as Bucky Barnes/Winter Soldier', 'Jack Champion as Kid on Bike', 'William Hurt as Secretary of State Thaddeus Ross', 'Aaron Lazar as Doctor Strange Double', 'Sam Hargrave as New Asgard Truck Driver', 'Jackson A. Dunn as Scott Lang (12 Y.O.)', 'Brent McGee as Camp Lehigh Guard', 'Brie Larson as Carol Danvers/Captain Marvel', 'Natalie Portman as Jane Foster', 'Robert Redford as Alexander Pierce', 'Hye Jin Jang as Japanese Girl', 'Michael James Shaw as Corvus Glaive', 'Paul Rudd as Scott Lang/Ant-Man', 'Tom Hiddleston as Loki', 'Cade Woodward as Nathaniel Barton', 'Cobie Smulders as Maria Hill', 'Tom Wisdom as Loki Reader', 'Patrick Gorman as Old Steve Rogers Double', 'Ken Jeong as Security Guard', 'Callan Mulvey as Jack Rollins', 'Russell Bobbitt as Diner Owner', 'Chadwick Boseman as T’Challa/Black Panther', 'Taylor Patterson as Taylor', 'Ty Simpkins as Harley Keener', 'Rene Russo as Frigga', 'Jim Starlin as Support Group Man #1', 'Sean Gunn as On-Set Rocket/Kraglin', 'John Slattery as Howard Stark', 'Winston Duke as M’Baku', 'Yvette Nicole Brown as S.H.I.E.L.D. Agent', 'Lexi Rabe as Morgan Stark', 'Tom Vaughan-Lawlor as Ebony Maw', 'Mike Lutz as On Set Reader #2', 'Frank Grillo as Brock Rumlow'}",good
20,American Psycho,"{'slasher film', 'comedy horror', 'thriller film', 'film based on a novel', 'crime film', 'drama film'}",2000,{'Edward R. Pressman'},Mary Harron,"{'Guinevere Turner', 'Mary Harron'}","{'Chloë Sevigny', 'Anthony Lemke', 'Christian Bale', 'Reg E. Cathey', 'Krista Sutton', 'Josh Lucas', 'Willem Dafoe', 'Matt Ross', 'Samantha Mathis', 'Justin Theroux', 'Bill Sage', 'Cara Seymour', 'Reese Witherspoon', 'Patricia Gage', 'Guinevere Turner', 'Jared Leto'}",R,"{'Justin Theroux as Timothy Bryce', 'Reese Witherspoon as Evelyn Williams', 'Josh Lucas as Craig McDermott', 'Samantha Mathis as Courtney Rawlinson', 'Bill Sage as David Van Patten', 'Chloë Sevigny as Jean', 'Jared Leto as Paul Allen', 'Willem Dafoe as Donald Kimball'}",average
21,Titanic,"{'romance film', 'disaster film', 'flashback film', 'melodrama', 'drama film'}",1998,"{'James Cameron', 'Jon Landau'}",James Cameron,{'James Cameron'},"{'Tommy Rian', 'Ewan Stewart', 'Michael Ensign', 'Charlotte Chatton', 'Eric Braeden', 'Anne Fletcher', 'Ioan Gruffudd', 'James Cameron', 'Jonathan Phillips', 'Rochelle Rose', 'Anatoly Sagalevich', 'Kate Winslet', 'Billy Zane', 'Jenette Goldstein', 'Martin East', 'Kathy Bates', 'Lew Palter', 'Lewis Abernathy', 'Martin Laing', 'Danny Nucci', 'Terry Forrestal', 'Gloria Stuart', 'Gregory Cooke', 'Edward Fletcher', 'Jonathan Hyde', 'Elsa Raven', 'Martin Hub', 'Scott G. Anderson', 'David Warner', ""Tricia O'Neil"", 'Jonathan Evans-Jones', 'James Lancaster', 'Liam Tuohy', 'Simon Crane', 'Mark Lindsay Chapman', 'Frances Fisher', 'Paul Brightwell', 'Victor Garber', 'Bill Paxton', 'Leonardo DiCaprio', 'Rosalind Ayres', 'Greg Ellis', 'Barry Dennen', 'Richard Graham', 'Craig Kelly', 'Seth Adkins', 'Suzy Amis Cameron', 'Bernard Fox', 'Edward Kamuda', 'Bernard Hill', 'Martin Jarvis'}",PG-13,"{'Kathy Bates as Margaret Molly Brown', 'Liam Tuohy as Chief Baker Charles Joughin', 'Jonathan Evans-Jones as Wallace Hartley', 'Scott G. Anderson as Frederick Fleet', 'Martin Jarvis as Sir Cosmo Duff-Gordon', 'Terry Forrestal as Chief Engineer Joseph G. Bell', 'Ewan Stewart as First Officer William Murdoch', 'Rochelle Rose as Noël Leslie, Countess of Rothes', 'Rosalind Ayres as Lady Duff-Gordon', 'Bernard Fox as Colonel Archibald Gracie IV', 'Bill Paxton as Brock Lovett', 'Kate Winslet as Rose DeWitt Bukater', 'Billy Zane as Caledon Hockley', 'Craig Kelly as Harold Bride', 'Victor Garber as Thomas Andrews', 'Elsa Raven as Ida Straus', 'Frances Fisher as Ruth DeWitt Bukater', 'Bernard Hill as Captain Edward John Smith', 'David Warner as Spicer Lovejoy', 'Suzy Amis Cameron as Lizzy Calvert', 'Leonardo DiCaprio as Jack Dawson', 'Paul Brightwell as Quartermaster Robert Hichens', 'Michael Ensign as Benjamin Guggenheim', 'James Lancaster as Father Thomas Byles', 'Simon Crane as Fourth Officer Joseph Boxhall', 'Danny Nucci as Fabrizio', 'Mark Lindsay Chapman as Chief Officer Henry Wilde', 'Jonathan Hyde as J. Bruce Ismay', 'Tommy Rian as Tommy Ryan', 'Martin East as Reginald Lee', 'Lew Palter as Isidor Straus', 'Gregory Cooke as Jack Phillips', 'Jonathan Phillips as Second Officer Charles Lightoller', 'Ioan Gruffudd as Fifth Officer Harold Lowe', 'Eric Braeden as John Jacob Astor IV', 'Gloria Stuart as Rose Dawson Calvert', 'Edward Fletcher as Sixth Officer James Moody'}",excellent
22,Ant-Man and the Wasp: Quantumania,"{'speculative/fantastic fiction film', 'action film', 'thriller film', 'adventure film', 'comedy film', 'science fiction film'}",2023,{'Kevin Feige'},Peyton Reed,{'Jeff Loveness'},"{'William Jackson Harper', 'Randall Park', 'Corey Stoll', 'Gregg Turkington', 'Kathryn Newton', 'Evangeline Lilly', 'Michelle Pfeiffer', 'Michael Douglas', 'Paul Rudd', 'David Dastmalchian', 'Jonathan Majors', 'Bill Murray'}",PG-13,{'Bill Murray as Krylar'},average
23,Eternals,"{'speculative/fantastic fiction film', 'action film', 'adventure film', 'superhero film', 'drama film', 'science fiction film'}",2021,{'Kevin Feige'},Chloé Zhao,{'Chloé Zhao'},"{'Harry Styles', 'Barry Keoghan', 'Lauren Ridloff', 'Gemma Chan', 'Harish Patel', 'Brian Tyree Henry', 'Richard Madden', 'Lucia Efstathiou', 'Kit Harington', 'Angelina Jolie', 'Ma Dong-seok', 'Salma Hayek', 'Lia McHugh', 'Zain al-Rafeea', 'Haaz Sleiman', 'Patton Oswalt', 'Kumail Nanjiani'}",PG-13,"{'Harish Patel as Karun', 'Lucia Efstathiou as Natural History Museum Student', 'Zain al-Rafeea as Mesopotamian Young Man', 'Haaz Sleiman as Ben'}",average
24,Uncharted,"{'action film', 'adventure film'}",2022,"{'Charles Roven', 'Avi Arad', 'Alex Gartner', 'Ari Arad'}",Ruben Fleischer,"{'Art Marcum and Matt Holloway', 'Art Marcum', 'Rafe Judkins'}","{'Tom Holland', 'Tati Gabrielle', 'El Rubius', 'Sarah Petrick', 'Mark Wahlberg', 'Sophia Taylor Ali', 'Rudy Pankow', 'Pilou Asbæk', 'Antonio Banderas', 'Patricia Meeden'}",PG-13,"{'Tati Gabrielle as Braddock', 'Sarah Petrick as Young Woman', 'Patricia Meeden as Spanish Woman'}",average
