,name,genres,creator,screenwriter,cast_member,awards_received,character,rating
27,True Detective,"{'neo-noir', 'Investigative television series', 'crime television series', 'drama television series', 'mystery television series'}",{'Cary Joji Fukunaga'},{'Nic Pizzolatto'},"{'Matthew McConaughey', 'Adria Arjona'}",{'None'},{'Emily'},average
28,The Empress,"{'drama television series', 'historical television series', 'biographical film'}","{'Katrin Gebbe', 'Florian Cossen'}","{'Janna Nandzik', 'Bernd Lange', 'Katharina Eyssen'}","{'Eric Bouwer', 'Patrick Rapold', 'Svenja Jung', 'Rauand Taleb', 'Philip Froissant', 'Vladimir Korneev', 'Hanna Hilsdorf'}",{'None'},"{'Duke Maximilian Joseph, Duke in Bavaria', 'Gustav, Prince of Vasa'}",average
29,Strike,"{'detective television series', 'crime television series', 'television series based on a novel'}","{'Charles Sturridge', 'Michael Keillor'}","{'Ben Richards', 'Tom Edge'}","{'Leo Bill', 'Killian Scott', 'Alisha Bailey', 'Ben Crompton', ""Natasha O'Keeffe"", 'Holliday Grainger', 'Tom Burke'}",{'None'},"{'Robin Ellacott', 'Cormoran Strike'}",average
30,Dae Jang Geum,{'historical fiction'},{'Lee Byung-hoon'},{'Kim Young-hyun'},"{'Ji Jin-hee', 'Hong Ri-na', 'Yang Mi-kyung', 'Lee Young-ae', 'Im Ho'}",{'None'},"{'Jungjong of Joseon', 'Jang-geum'}",poor
31,Perry Mason,"{'costume drama', 'legal drama', 'television adaptation'}","{'Deniz Gamze Ergüven', 'Tim Van Patten'}","{'Ron Fitzgerald', 'Rolin Jones'}","{'Eric Lange', 'Taylor Nichols', 'Justin Kirk', 'Gayle Rankin', 'Chris Chalk', 'Matthew Rhys', 'Karl Makinen', 'Andrew Howard', 'Matt Frewer', 'Molly Ephraim', 'Michael McMillian', 'John Lithgow', 'Jefferson Mays', 'Diarra Kilpatrick', 'Thomas Crawford', ""Mark O'Brien"", 'Andrew Divoff', 'Nate Corddry', 'Juliet Rylance', 'Stephen Root', 'Shea Whigham', 'Sean Astin', 'Charles Baker', 'Aaron Stanford', 'Katherine Waterston', 'Madeline Zima', 'Paul Raci', 'Tatiana Maslany', 'Robert Patrick', 'Lili Taylor', ""Jenny O'Hara"", 'David Wilson Barnes', 'Veronica Falcón', 'Hope Davis', 'Tommy Dewey', 'Gretchen Mol'}",{'None'},"{'Hamilton Burger', 'Perry Mason', 'Della Street', 'Paul Drake'}",average
32,Belgravia,"{'historical television series', 'television series based on a novel'}",{'John Alexander'},{'Julian Fellowes'},"{'Adam James', 'Serena Evans', 'Alice Eve', 'Nicholas Rowe', 'Naomi Frederick', 'Tara Fitzgerald', 'James Fleet', 'Philip Glenister', 'Tom Wilkinson', 'Richard Goulding', 'Jack Shalloo', 'Jack Bardoe', 'Paul Ritter', 'Bronagh Gallagher', 'Harriet Walter', 'Penny Layden', 'Tamsin Greig', 'Robert Portal', 'James Chalmers', 'Saskia Reeves', 'Diana Kent', 'Emily Reid', 'Diana Hardcastle', 'Ella Purnell', 'Gunnar DeYoung', 'Jeremy Neumark Jones'}",{'None'},"{'Arthur Wellesley, 1st Duke of Wellington', 'Anna Russell, Duchess of Bedford', 'Willem II of the Netherlands', 'William Ponsonby', 'Charlotte Lennox, Duchess of Richmond', 'Charles Lennox, 4th Duke of Richmond'}",average
33,Bleak House,"{'drama television series', 'television series based on a novel'}",{'Justin Chadwick'},{'Andrew Davies'},"{'Sheila Hancock', 'Louise Brealey', 'Patrick Kennedy', 'Denis Lawson', 'Liza Tarbuck', 'Joanna David', 'Roberta Taylor', 'John Lynch'}",{'None'},"{'Rev. Mr. Chadband', 'Esther Summerson', 'Guppy'}",average
34,Ekaterina,"{'drama film', 'historical film'}","{'Dmitri Iosifov', 'Aleksandr Baranov', 'Ramil Sabitof'}",{'Arif Aliyev'},"{'Mikhail Gorevoy', 'Marcin Stec', 'Artyom Alekseev', 'Alexey Vorobyov', 'Danila Dunayev', 'Kirill Rubtsov', 'Vladimir Yumatov’}",{'None'},"{'Maria Feodorovna', 'Alexey Razumovsky', 'Aleksey Obreskov', 'Catherine II of Russia', 'Grigory Orlov’}",average
35,Knightfall,"{'action television series', 'historical drama', 'drama film', 'adventure film', 'adventure television series', 'drama television series', 'action film'}","{'Douglas Mackinnon', 'Samira Radsi', 'Roel Reine', 'Rick Jacobson', 'David Petrarca', 'David Wellington', 'Metin Huseyin'}","{'Vivian Tse', 'Ethan Reiff', 'Dominic Minghella', 'Vincent Angell', 'Cyrus Voris', 'Richard Rayner', 'Sharon Hoffman', 'Don Handfield', 'Aaron Helbing'}","{'Jim Carter’, 'Enrique Arce', 'Claire Cooper', 'Lourdes Faberes', 'Ed Stoppard’}",{'None'},"{'Margaret of Burgundy', 'Boniface VIII', 'Philip IV of France', 'Isabella of France', 'Guillaume de Nogaret', 'Jacques de Molay', 'Joan I of Navarre', 'Louis X of France', 'Clement V', 'Robert de Vere, 6th Earl of Oxford'}",average
36,The Affair,"{'drama television series', 'mystery television series'}","{'Carl Franklin', 'Mark Mylod', 'Jeffrey Reiner', 'Ryan Fleck'}","{'Eric Overmyer', 'Hagai Levi', 'Kate Robin'}","{'Colin Donnell', 'Julia Goldani Telles', 'Maura Tierney', 'Ruth Wilson', 'Dominic West', 'Joshua Jackson'}",{'None'},{'Scotty Lockhart'},average
37,Freud,"{'crime film', 'drama film', 'crime television series', 'drama television series', 'historical film', 'historical television series'}",{'Marvin Kren'},"{'Benjamin Hessler', 'Marvin Kren'}","{'Anja Kling', 'Lukas Miko', 'Adam Vacula', 'Anna Linhartová', 'Brigitte Kren', 'Martin Hujas'}",{'None'},"{'Sigmund Freud', 'Josef Breuer', 'Martha Bernays', 'Anna Freud Bernays', 'Amalia Freud', 'Jacob Freud', 'Rudolf, Crown Prince of Austria', 'Theodor Meynert', 'Arthur Schnitzler', 'Franz Joseph I of Austria', 'Eli Bernays'}",average
38,The Girlfriend Experience,"{'drama television series', 'LGBTI+ related TV series'}","{'Lodge Kerrigan', 'Amy Seimetz', 'Anja Marquardt'}","{'Lodge Kerrigan', 'Devon Graye', 'Amy Seimetz', 'Anja Marquardt'}","{'Michael Therriault', 'James Gilbert', 'Enzo Cilenti', 'Amy Seimetz', 'Kate Lyn Sheil', 'Jemima Rooper', 'Morgan Davies', 'Carmen Ejogo', 'Paul Sparks', 'Daniel Betts', 'Mary Lynn Rajskub', 'Narges Rashidi', 'Harmony Korine', 'Anna Friel', 'Ray Fearon', 'Armin Karima', 'Michael Cram', 'Sugith Varughese', 'Peter Guinness', 'Charles Edwards', 'Julia Goldani Telles', 'Oliver Masucci', 'Louisa Krause', 'Tunde Adebimpe', 'Aidan Devine', 'Alexandra Castillo', 'Riley Keough', 'Frank Dillane'}",{'None'},"{'Sarah Day', 'Ian Olsen', 'Avery Suhr', 'Bria Jones', 'Kayla Fairchild', 'Annabel Reade', 'Paul', 'Iris Stanton', 'Chelsea Rayne', 'Anna Garner', 'Erin Roberts', 'Christine Reade', 'Darya Esford', 'David Tellis', 'Erica Myles'}",average
39,The I-Land,"{'drama television series', 'science fiction television series', 'action television series', 'adventure television series'}","{'Jonathan Scarfe', 'Neil LaBute', 'Darnell Martin'}",{'Neil LaBute'},"{'Michelle Veintimilla', 'María Conchita Alonso', 'Taylor Handley', 'Natalie Martinez', 'Kate Bosworth', 'Margaret Colin', 'Ronald Peet', 'Bruce McGill', 'Alex Pettyfer', 'Gilles Geary', 'Victor Slezak', 'Sibylla Deen', 'Kyle Schmid'}",{'None'},"{'Cooper', 'Dr Stevenson', 'Brody'}",average
40,Bordertown,"{'Nordic noir', 'drama fiction', 'crime television series'}","{'Miikko Oikkonen', 'Juuso Syrja’}",{'Miikko Oikkonen'},"{'Anu Sinisalo', 'Olivia Ainali', 'Matleena Kuusniemi', 'Kristiina Halttu', 'Lenita Susi', 'Ville Virtanen', 'Ilkka Villi'}",{'None'},{'Kari Sorjonen'},average
41,Vigil,{'police procedural'},"{'James Strong', 'Isabelle Sieb'}",{'Tom Edge'},"{'Anjli Mohindra', 'Adam James', 'Paterson Joseph', 'Gary Lewis', 'Shaun Evans', 'Lolita Chakrabarti', 'Rose Leslie', 'Suranne Jones', 'Lauren Lyle', 'Martin Compston', 'Stephen Dillane'}",{'None'},"{'Jade Antoniak', 'Erin Branning', 'Mark Prentice', 'Colin Robertson', 'Rear Admiral Shaw', 'Craig Burke', 'Neil Newsome', 'Kirsten Longacre', 'Elliot Glover', 'Tiffany Docherty'}",average
42,Drop Dead Diva,"{'American television sitcom', 'fantasy television series', 'comedy drama'}","{'Michael Grossman', 'Jamie Babbit', 'Robert J. Wilson', 'David Petrarca'}","{'Josh Berman', 'Jeffrey Lippman'}","{'Marcus Lyle Brown', 'Margaret Cho', 'Kate Levering', 'Mike Pniewski', 'Ben Feldman', 'Jackson Hurst', 'Gregory Alan Williams', 'April Bowlby', 'Josh Stamberg', 'Lex Medlin', 'Brooke Elliott', 'Justin Deeley', 'Carter MacIntyre'}",{'None'},"{'Amos Hanson', 'Fred', 'A.D.A. Paul Saginaw', 'Stacy Barrett', 'Grayson Kent', 'Teri Lee', 'Jane Bingum', 'Luke Daniels', 'Kim Kaswell', 'Owen French', 'Paul', 'Judge Warren Libby', 'Jay Parker'}",average
43,Wallander,"{'drama television series', 'crime television series', 'television series based on a novel'}","{'Philip Martin', 'Niall MacCormick'}",{'Henning Mankell'},"{'Kenneth Branagh', 'Tom Beard', 'Jeany Spark', 'David Warner', 'Tom Hiddleston', 'Rebekah Staton', 'Barnaby Kay', 'Mark Hadfield', 'Richard McCabe', 'Sarah Smart', 'Polly Hemingway'}","{'British Academy Television Award for Best Drama Series', 'British Academy Television Award for Best Actor'}",{'Kurt Wallander'},average
44,Gunpowder,{'historical drama'},{'J Blakeson'},{'Ronan Bennett'},"{'Matthew Neal', 'Shaun Dooley', 'Simon Kunz', 'Derek Riddell', 'Pedro Casablanc', 'Kit Harington', 'Thom Ashley', 'Robert Gwyllim', 'Andy Lucas', 'Hugh Alexander', 'Sean Rigby', 'David Bamber', 'Luke Neal', 'Peter Mullan', 'Daniel West', 'Robert Emms', 'Tom Cullen', 'Sian Webber', 'Mark Gatiss', 'Martin Lindley', 'Liv Tyler', 'Joseph Ringwood', 'Philip Hill-Pearson', 'Luke Broughton', 'Edward Holcroft', 'Andrew Jarvis'}",{'None'},"{'Robert Cecil, 1st Earl of Salisbury', 'Thomas Bates', 'James VI and I', 'Robert Wintour', 'Christopher Wright', 'Edward Alford', 'Francis Tresham'}",average
45,Galactica 1980,{'science fiction television series'},"{'Vince Edwards', 'Ron Satlof', 'Sidney Hayers', 'Daniel Haller'}",{'Jeff Freilich'},"{'James Patrick Stuart', 'Lorne Greene', 'Ken Lynch', 'Richard Lynch', 'Marj Dusay', 'Booth Colman', 'Barry Van Dyke', 'Paul Koslo', 'John Quade', 'Michael Swan', 'Jack Ging', 'Bill McKinney', 'Kent McCord', 'Simon Scott', 'Allan Miller', 'Judith Chapman'}",{'None'},"{'Commander Adama', 'Lieutenant Boomer'}",average
46,Angel,"{'paranormal television program', 'werewolf television program', 'detective television series', 'fantasy television series', 'vampire television program'}",{'Joss Whedon'},"{'Marti Noxon', 'Joss Whedon'}","{'Eric Lange', 'Dorie Barton', 'Patrick Breen', 'Christian Kane', 'Gina Torres', 'Carlos Carrasco', 'Jeffrey Dean Morgan’}",{'None'},"{'Lorne', 'Justine Cooper', 'Allen Francis Doyle', 'Faith', 'Willow Rosenberg', 'Drusilla', 'Angel', 'Lilah Morgan', 'Jasmine', 'Darla', 'Landok', 'Cordelia Chase', 'Spike', 'Oz', 'Connor', 'Master', 'Groosalugg', 'Holland Manners', 'Charles Gunn', 'Nina Ash', 'Anne Steele', 'Lindsey McDonald', 'Daniel Holtz', 'Harmony Kendall', 'Winifred Burkle', 'Illyria', 'Wesley Wyndam-Pryce', 'Buffy Summers'}",average
47,The Musketeers,"{'drama television series', 'swashbuckler film', 'television series based on a novel'}","{'Saul Metzstein', 'Udayan Prasad', 'Edward Bennett', 'John Strickland'}","{'Jeff Povey', 'Ryan Craig', 'Adrian Hodges'}","{'Olivia Llewellyn', 'Vinnie Jones', 'Will Keen', 'Linzey Cocker', 'Ed Stoppard', 'Lenka Burianová', 'John Woodvine', 'Matt Stokoe', 'Michael Cochrane', 'Zoe Tapper’}",{'None'},"{'Athos', 'Milady de Winter', 'Gaston, Duke of Orléans', 'Jean-Armand du Peyrer', 'Porthos', 'Constance Bonacieux', ""D'Artagnan"", 'Louis XIII of France', 'Comte de Rochefort', 'Anne of Austria', 'Cardinal Richelieu', 'Bonacieux', 'Grimaud', 'Aramis'}",average
48,Wolf Hall,"{'drama television series', 'television series based on a novel'}",{'Peter Kosminsky'},{'Peter Straughan'},"{'Robert Wilfort', 'Kerry Ingram', 'Harry Lloyd', 'Will Keen', 'Kate Phillips', 'Enzo Cilenti', 'Ed Speleers', 'Joanne Whalley', 'Thomas Arnold', 'Mark Rylance', 'Charity Wakefield', 'Damian Lewis', 'Mathieu Amalric', 'Aimee-Ffion Edwards', 'Richard Durden', 'Luke Roberts', 'Hannah Steele', 'Tom Holland', 'Richard Dillane', 'Bryan Dick', 'Jonathan Pryce', 'Lucy Russell', 'Paul Ritter', 'Claire Foy', 'Paul Clayton', 'Jessica Raine', 'Mark Gatiss', 'Nigel Cooke', 'David Robb', 'Bernard Hill', 'James Larkin', 'Emma Hiddleston', 'Thomas Brodie-Sangster', 'Jonathan Aris', 'Felix Scott', 'Saskia Reeves', 'Anton Lesser', 'Natasha Little', 'Edward Holcroft', 'Jacob Fortune-Lloyd', 'Benjamin Whitrow', 'Janet Henfrey', 'Alastair Mackenzie', 'Tim Steed'}","{'Golden Globe Award for Best Miniseries or Television Film', 'British Academy Television Award for Best Drama Series'}","{'Anne Boleyn', 'Ralph Sadler', 'Mary Shelton', 'George Cavendish', 'Francis Weston', 'Thomas More', 'Hans Holbein the Younger'}",average
49,Black Earth Rising,{'drama'},{'Hugo Blick'},{'Hugo Blick'},"{'John Goodman', 'Harriet Walter', 'Olivier Rabourdin', 'Michaela Coel'}",{'None'},{'Brigadier General Lesage'},average
50,Devils,{'financial thriller'},{'Nick Hurran'},"{'Michael A. Walker', 'Alessandro Sermoneta'}","{'Nathalie Rapti Gomez', 'Tatjana Nardone', 'Patrick Dempsey', 'Malachi Kirby', 'Alessandro Borghi', 'Sallie Harmsen', 'Chris Reilly', 'Kasia Smutniak', 'Harry Michell', 'Laia Costa', 'Pia Mechler', 'Lars Mikkelsen', 'Gabrielle Scharnitzky', 'Jemma Powell'}",{'None'},"{'Kate Baker', 'Cynthia', 'Eleanor Bourg', 'Alex Vance', 'Claire Stuart', 'Paul McGuinnan', 'Sofia Flores', 'Antonia Kessler', 'Massimo Ruggero', 'Oliver Harris', 'Daniel Duval', 'Carrie Price', 'Dominic Morgan', 'Nina Morgan'}",average
51,Lonesome Dove,"{'television series based on a novel', 'television western'}",{'Simon Wincer'},{'William D. Wittliff'},"{'Tommy Lee Jones', 'Bradley Gregg', 'Danny Glover', 'Barry Tubb', 'Ricky Schroder', 'Barry Corbin', 'William Sanderson', 'Matthew Cowles', 'Lanny Flaherty', 'Glenne Headly', 'Robert Urich', 'D. B. Sweeney', 'Nina Siemaszko', 'Jordan Lund', 'Chris Cooper', 'James McMurtry', 'Jorge Martínez de Hoyos', 'Timothy Scott', 'Anjelica Huston', 'Steve Buscemi', 'Diane Lane', 'Bud Shrake', 'Frederick Coffin', 'Margo Martindale', 'Robert Duvall', ""Gavan O'Herlihy"", ""Kevin O'Morrison"", 'Frederic Forrest', 'Michael Tylo', 'Tony Epper', 'O-Lan Jones'}",{'None'},"{""Sean O'Brien"", 'Dee Boot', 'Dan Suggs', 'Jimmy Rainey', 'Jasper Fant', 'Doctor', 'Buffalo Heifer', 'Lippy Jones', 'Blue Duck', 'Big Zwey', 'Deputy Roscoe Brown', 'Dixon', 'Captain Woodrow F. Call', 'Clara Forsythe Allen', 'Po Campo', 'John Monkey John', 'Jake Spoon', 'Elmira Ellie Johnson', 'Sheriff July Johnson', 'Pea Eye Parker', 'Captain Augustus Gus McCrae', 'Dishwater Dish Boggett', 'Lorena Wood', 'Luke', 'Hutto', 'Sodbuster', 'Soupy Jones', 'Sally Skull', 'Newt Dobbs', 'Joshua Deets', 'Janey'}",average
52,My Country: The New Age,{'romance television series'},{'Kim Jin-won'},{'Chae Seung-dae'},"{'Yang Se-jong', 'Woo Do-hwan', 'Kim Seolhyun', 'Kim Yeong-cheol', 'Jang Hyuk'}",{'None'},"{'Nam Sun-ho', 'Han Hee-jae', 'Lee Seong-gye', 'Lee Bang-won', 'Seo Hwi'}",average
53,The Virgin Queen,{'docudrama'},{'Coky Giedroyc'},{'Paula Milne'},"{'Hans Matheson', 'Derek Riddell', 'Enzo Cilenti', 'Shaun Evans', 'Siobhan Hewlett', 'Vincent Franklin', 'Daniel Evans', 'Ben Daniels', 'Joanne Whalley', 'Tara Fitzgerald', 'Jason Watkins', 'Jacob Collier', 'Ralph Ineson', 'Karl Theobald', 'Bryan Dick', 'Sebastian Armesto', 'Sienna Guillory', 'Emilia Fox', 'Robert Pugh', 'Ewen Bremner', 'Stephen Walters', 'Charlotte Winner', 'Stanley Townsend', 'Tom Hardy', 'Kevin McKidd', 'Geoff Bell', 'Pearce Quigley', 'Neil Stuke', 'Dexter Fletcher', 'Michael Feast', 'Alan Williams', 'Tony Guilfoyle', 'Ian Hart', 'Anne-Marie Duff'}",{'None'},"{'Robert Cecil, 1st Earl of Salisbury', 'Kat Ashley', 'Mary I of England', 'Walter Raleigh', 'Reginald Pole', 'Gilbert Gifford’}",average
54,Self Made: Inspired by the Life of Madam C. J. Walker,"{'drama film', 'biographical film'}",{'Kasi Lemmons'},"{""A'Lelia Bundles""}","{'Octavia Spencer', 'Blair Underwood', 'Cornelius Smith Jr.', 'Garrett Morris', 'Tiffany Haddish', 'Kevin T. Carroll', 'Carmen Ejogo'}",{'None'},"{'W.E.B. DuBois', 'Cleophus', 'Ransom', 'C. J.', 'Addie', 'Lelia', 'Sarah Breedlove'}",average
55,Romulus,{'drama television series'},"{'Enrico Maria Artale', 'Matteo Rovere', 'Michele Alhaique'}","{'Guido Iuculano', 'Matteo Rovere', 'Filippo Gravino'}","{'Silvia Calderoni', 'Ivana Lotito', 'Andrea Arcangeli', 'Yorgo Voyagis', 'Gabriel Montesi', 'Sergio Romano', 'Marianna Fontana', 'Corrado Invernizzi', 'Giovanni Buselli', 'Massimiliano Rossi', 'Vanessa Scalera', 'Emilio De Marchi'}",{'None'},"{'Rhea Silvia', 'Amulius', 'Numitor'}",average
56,Father Ted,{'sitcom'},{'Declan Lowney'},"{'Arthur Mathews', 'Graham Linehan'}","{'James Berwick', 'Graham Norton', 'Jason Byrne', 'Jon Kenny', ""Ardal O'Hanlon"", 'Ben Keaton', 'Frank Kelly'}",{'None'},"{'Father Jack Hackett', 'Father Dougal McGuire', 'Mrs Doyle', 'Father Ted Crilly'}",average
57,Cougar Town,{'American television sitcom'},"{'Chris Koch', 'Phil Traill', 'Busy Philipps', 'Bill Lawrence', 'Courteney Cox', 'Jamie Babbit', 'Millicent Shelton', 'John Putch', 'Michael Spiller', 'Brian Van Holt', 'Josh Hopkins'}","{'Mara Brock Akil', 'Bill Lawrence'}","{'Briga Heelan', 'Alanis Morissette', 'Dot Jones', 'Rob Delaney', 'Ryan Devlin', 'Gillian Vigman', 'Nick Zano', 'Jennifer Holland’}",{'None'},{'Ted Buckland'},average
58,My Love from the Star,{'romance film'},{'Jang Tae-yoo'},{'Park Ji-eun'},"{'Bae Suzy', 'Jo Se-ho', 'Han Eun-seon', 'Yoo Yeon-mi', 'Son Eun-seo', 'Ryu Seung-ryong', 'Yoo In-young', 'Kim Won Joon', 'Lee Il-hwa', 'Na Young-hee', 'Kim Bo-mi', 'Shin Sung-rok', 'Yu Jun-sang', 'Kim Soo-ro', 'Lee Jung-gil', 'Chun Young-Lae', 'Park Hae-jin', 'Kim Hee-won', 'Seong Byeong-sook', 'Oh Sang-jin', 'Kim Chang-wan', 'Kim Soo-hyun', 'Jang Hang-jun', 'Park Yeong-gyu', 'Hong Jin-kyung', 'Um Hyo-sup', 'Kim Hyeon-soo', 'Ahn Jae-hyun', 'Yeon Woo-jin', 'Nam Chang-hee', 'Kwon Tae-won', 'Jo Hui-bong', 'Jeon In-taek', 'Yoo In-na', 'Kim Gang-hyeon', 'Jun Ji-hyun', 'Choi Woong', 'Lee Yi-kyung', 'Sandara Park', 'Park Jung-ah', 'Jeong Eun-pyo'}",{'None'},"{'Heo Gyun', 'Heo Jun', 'Hwang Jini'}",average
59,Houdini,"{'historical drama', 'film based on books'}",{'Uli Edel'},{'Nicholas Meyer'},"{'Linda Marlowe', 'Adrien Brody', 'Evan Jones', 'Megan Dodds', 'Kristen Connolly', 'Luca Bercovici', 'Simon Nader', 'David Calder’}",{'None'},"{'Theodore Hardeen', 'Sidney Reilly', 'Nicholas II of Russia', 'Grigori Rasputin', 'Wilhelm II', 'Cecilia Steiner', 'Bess Houdini', 'Harry Houdini', 'Arthur Conan Doyle', 'William Melville', 'Jean Elizabeth Leckie'}",average